,nickname,text,score,like,dislike,time,watch_movie
322,바로지금(stre****),이 영화가 한국에서 흥행성공 한다면 얼마나 부끄러울지 제발 생각을 해보자. 이건 마치 일본 제국주의 영화가 한국에서 흥행성공 한거나 마찬가지이다.,1,6,2,2020-09-19 14:37:00,0
323,임현아(dlah****),"디즈니,,,....",1,6,2,2020-09-19 13:14:00,0
324,로로기(sw10****),,1,6,2,2020-09-19 13:10:00,0
325,리퍼(dhfb****),디즈니...실망...,1,6,2,2020-09-19 12:47:00,0
326,Noah Lee(tofh****),돈이 아깝다 kt멤버십으로 공짜로 봐서 다행이지 내 돈 보고 봤으면 억장이 무너질 뻔 했다. 그지 같은 영화 개연성이고 스토리고 아무것도 없다. 심지어 유역비도 안 보인다 어찌나 영화가 개판인지,1,6,2,2020-09-19 12:40:00,0
327,헬로월드(vamp****),쓰레기 영화. 게다가 페미니즘이라니. 영화나 제대로 만들 것이지. 여자라서 차별받았다구? 남자들만 전쟁터에 끌려가는건 괜찮구? 긴머리 풀어 헤치고 도포자락 나풀거리는게 자아를 찾는건가? 전쟁터에서 죽으려고 환장한거지...,1,6,2,2020-09-19 05:00:00,0
328,이걸지네(bdx6****),짱깨들 애쓴다 ㅋㅋㅋ더러운똥내나는 영화일듯더러운냄새풍기며 우리나라까지 기어들어온바퀴벌레놈들 ㅉㅉ 당연히 안봄 ㅋㅋ 돈안쓰지 이딴거에,1,6,2,2020-09-19 03:53:00,0
329,수영(kinn****),이게..왜 평점이 이렇게높지,1,6,2,2020-09-19 02:43:00,0
330,오지환만루호(alsd****),위구르 사람들의  피눈물 ㅋㅋㅋ,1,6,2,2020-09-19 02:35:00,0
331,ksy7****,스포일러가 포함된 감상평입니다. 감상평 보기,1,6,2,2020-09-19 01:58:00,0
332,o어락o행주니(lroc****),근래에 보기 힘든 최악의 영화 였다.;;;;,1,6,2,2020-09-19 01:41:00,0
333,kimw****,반도나...뮬란이나....유역비가 이뻐서 5점 이내요...나머진...그냥...여자들이 알아서 하겠저...영화보면서 여자들이 지금도 어렵고 힘들게나사...싶더군요...이렇게까지 눈치보며 흥행못하는영화 만드는이유는 뭔지...,5,18,14,2020-09-30 11:58:00,관람객
334,명지팀(kyh9****),12세 등급이라 그런가 화려한 액션 전투씬은 없습니다.대규모 전투 기대하고 갔었는데 의외이네요 ㅎㅎㅎ디즈니 라서 별 5개 줍니다.12세 눈높이에서 보면 재미있습니다.성인 눈높이 기대하지마세요 ㅋㅋㅋ,5,18,14,2020-09-20 23:46:00,관람객
335,ahn(ahn3****),보통 마녀같이 악역은 까마귀같은걸로 변신하지 않나 왜 미국의 상징인 독수리로 변신하고 다니는거지 ㅋ,5,20,16,2020-09-24 01:01:00,관람객
